,id,name,shortName
0,1,Classic English-Style Pale Ale,English Pale
1,2,English-Style India Pale Ale,English IPA
2,3,Ordinary Bitter,Bitter
3,4,Special Bitter or Best Bitter,Special Bitter
4,5,Extra Special Bitter,ESB
5,6,English-Style Summer Ale,English Summer Ale
6,7,Scottish-Style Light Ale,Scottish Light
7,8,Scottish-Style Heavy Ale,Scottish Heavy
8,9,Scottish-Style Export Ale,Scottish Export
9,10,English-Style Pale Mild Ale,English Pale Mild
10,11,English-Style Dark Mild Ale,English Dark Mild
11,12,English-Style Brown Ale,English Brown
12,13,Old Ale,Old Ale
13,14,Strong Ale,Strong Ale
14,15,Scotch Ale,Scotch Ale
15,16,British-Style Imperial Stout,British Imperial Stout
16,17,British-Style Barley Wine Ale,British Barleywine
17,18,Brown Porter,Brown Porter
18,19,Robust Porter,Robust Porter
19,20,Sweet or Cream Stout,Sweet Stout
20,21,Oatmeal Stout,Oatmeal Stout
21,22,Irish-Style Red Ale,Irish Red
22,23,Classic Irish-Style Dry Stout,Dry Irish Stout
23,24,Foreign (Export)-Style Stout,Export Stout
24,25,American-Style Pale Ale,American Pale
25,26,"Fresh ""Wet"" Hop Ale",Wet Hop Ale
26,27,Pale American-Belgo-Style Ale,American/Belgian Pale
27,28,Dark American-Belgo-Style Ale,American/Belgian Dark
28,29,American-Style Strong Pale Ale,American Strong Pale
29,30,American-Style India Pale Ale,American IPA
30,31,Imperial or Double India Pale Ale,Imperial IPA
31,32,American-Style Amber/Red Ale,Amber
32,33,Imperial Red Ale,Imperial Red
33,34,American-Style Barley Wine Ale,American Barleywine
34,35,American-Style Wheat Wine Ale,Wheatwine
35,36,Golden or Blonde Ale,Blonde
36,37,American-Style Brown Ale,American Brown
37,38,Smoke Porter,Smoke Porter
38,39,Brett Beer,Brett
39,40,American-Style Sour Ale,Sour
40,41,American-Style Black Ale,Black Ale
41,42,American-Style Stout,American Stout
42,43,American-Style Imperial Stout,American Imperial Stout
43,44,Specialty Stouts,Stout
44,45,German-Style Kölsch / Köln-Style Kölsch,Kölsch
45,46,Berliner-Style Weisse (Wheat),Berlinerweisse
46,47,Leipzig-Style Gose,Leipzig Gose
47,48,South German-Style Hefeweizen / Hefeweissbier,Hefeweizen
48,49,South German-Style Kristall Weizen / Kristall Weissbier,Kristallweizen
