author,created_date,text
DotNetKicks,2018-03-08 14:01:37,"Host a Website with Azure Functions and Node.JS, Part 2 - Logging by @wintellectuals https://t.co/RCkBadYCSK #dotnet via @DotNetKicks"
Dinesh Beniwal,2018-03-08 11:33:30,@CsharpCorner @pmohammedramees @mcbeniwal @stratisplatform @graphitegtc @infragistics @glutoken @jetbrains @GrapeCityUS @Wintellect Welcome
Ted Petrou,2018-03-07 18:49:50,Check out my (free) live webinar tomorrow (Thursday) at 2 p.m. EST where I cover the importance of Developing a Rou… https://t.co/o5r1yt9Kry
Pablo Diego,2018-03-07 06:13:01,@CsharpCorner @billjwolff @PhillyDotNet @stratisplatform @graphitegtc @infragistics @glutoken @jetbrains @GrapeCityUS @Wintellect Awesome
DotNetKicks,2018-03-07 01:31:14,Beginning Statistics for Data Science: Analyzing Data by wintellectuals https://t.co/EBEQhcD5mR #dotnet via DotNetKicks
WintellectNOW,2018-03-06 23:01:05,"Join us Thursday for our live webinar ""Developing a Routine for Performing Data Analysis with Pandas""… https://t.co/rUOY7O7hkL"
Wintellect,2018-03-06 22:55:20,"Join us Thursday for our live webinar ""Developing a Routine for Performing Data Analysis with Pandas""… https://t.co/bfs9aw9J0E"
Suriya Subramanian,2018-03-06 14:32:44,Beginning Statistics for Data Science: Analyzing Data https://t.co/cfDcyPfxDK #datascience
DotNetKicks,2018-03-06 13:21:38,Beginning Statistics for Data Science: Analyzing Data by @wintellectuals https://t.co/EBEQhcD5mR #dotnet via @DotNetKicks
Shakti Singh Dulawat,2018-03-06 04:56:19,@CsharpCorner @jguadagno @QuickenLoans @mcbeniwal @stratisplatform @graphitegtc @infragistics @glutoken @jetbrains… https://t.co/iGPaLXnNH8
Nir Mashkowski,2018-03-06 03:14:52,"Host a Website with Azure Functions and Node.JS, Part 1 https://t.co/TLOBNypH53"
DotNetKicks,2018-03-06 02:59:11,"Host a Website with Azure Functions and Node.JS, Part 1 by wintellectuals https://t.co/wg5JAdMvyg #dotnet via DotNetKicks"
Wintellect,2018-03-05 21:21:52,"Host a Website with Azure Functions and Node.JS, Part 1 by @Wintellect  https://t.co/HC3cJvS5Ah #AzureFunctions… https://t.co/ZPytZeGhix"
WintellectNOW,2018-03-05 21:21:51,"Host a Website with Azure Functions and Node.JS, Part 1 by @Wintellect  https://t.co/hwbsPJHpSP #AzureFunctions… https://t.co/5oOkCUPGmA"
Wintellect,2018-03-05 21:19:48,How organizations are using Microsoft's on-premises cloud platform via @Wintellect https://t.co/4ovMfTTydT #Azure… https://t.co/BGHpJCj8ng
WintellectNOW,2018-03-05 21:19:48,How organizations are using Microsoft's on-premises cloud platform via @Wintellect https://t.co/g5u6tJNBlG #Azure… https://t.co/8P4c0LIeJw
DotNetKicks,2018-03-05 14:51:37,"Host a Website with Azure Functions and Node.JS, Part 1 by @wintellectuals https://t.co/wg5JAdMvyg #dotnet via @DotNetKicks"
Dinesh Beniwal,2018-03-05 10:54:43,@CsharpCorner @gourav8jain @mcbeniwal @stratisplatform @graphitegtc @infragistics @glutoken @jetbrains @GrapeCityUS… https://t.co/mw726cm8ga
Taswar Bhatti,2018-03-04 23:36:17,Choosing Between Containers and Serverless | https://t.co/RgvSWCK2sQ https://t.co/tqKzgBrnH6
Shakti Singh Dulawat,2018-03-03 07:13:16,@dbeniwal21 @jprosise @Wintellect @CsharpCorner @mcbeniwal @stratisplatform @graphitegtc Welcome Jeff
Dinesh Beniwal,2018-03-02 17:55:01,"Let's welcome @jprosise, Co- Founder @Wintellect! https://t.co/kj9AaidSoc cc #CsharpCon18 @CsharpCorner @mcbeniwal… https://t.co/u7xhlN27Lr"
Jason Wood,2018-03-02 07:37:22,Création d'une machine d'apprentissage api web avec flacon - Wintellect comment acheter un Bitcoin - https://t.co/0JuyCPfD67
Graphite GTC,2018-03-01 15:57:26,@CsharpCorner @jprosise @Wintellect @mcbeniwal @stratisplatform @infragistics @glutoken @jetbrains @GrapeCityUS… https://t.co/6lSERYOIPR
Cristian Pop,2018-03-01 06:50:37,@CsharpCorner @stratisplatform @graphitegtc @Wintellect @jetbrains @glutoken @infragistics @GrapeCityUS Would love… https://t.co/x8aOsRow6x
Interview Guidance,2018-02-28 16:30:01,"Let's welcome @jprosise, Co- Founder @Wintellect! https://t.co/eHYYTF1X1T  cc #CsharpCon18 @CsharpCorner… https://t.co/bIRXsJUjc6"
C# Corner Career,2018-02-28 12:15:00,"Let's welcome @jprosise, Co- Founder @Wintellect! https://t.co/Cjnx4i2PJ4 cc #CsharpCon18 @CsharpCorner… https://t.co/mFhKaPo8tz"
Crypto Connection,2018-02-28 11:34:23,@CsharpCorner @stratisplatform @graphitegtc @Wintellect @jetbrains @glutoken @infragistics @GrapeCityUS Pick me! Lol
C# Corner Chapters,2018-02-28 07:15:00,"Let's welcome @jprosise, Co- Founder @Wintellect! https://t.co/16gGhaXqRP cc #CsharpCon18 @CsharpCorner… https://t.co/B6Cl5kixyA"
